category,subcategory,name,description,url,price,image
footwear,shoes,Closed Toe Pumps in Red,"Closed Toe Pumps in Red are a luxurious blend of comfort and style for an accent shoe that adds a sophisticated touch to your footwear collection. 
These heeled shoes feature a closed toe at the front, adding a refined classic design. The bold red color provides contemporary appeal, making them a versatile choice for both casual outings and more formal occasions.
With a sole height of 2.5 inches, these shoes offer a comfortable and low-profile silhouette. The SBS sole provides lightweight cushioning and flexibility, ensuring a steady and supportive stride throughout the day. The open-back design allows for easy slip-on and off, making these mules convenient for daily wear.
Crafted from high-quality fabric. The 100% polyurethane lining adds a smooth and breathable layer, enhancing overall comfort and maintaining a cool interior. The insole, made from 78% polyurethane and 22% polyester, offers additional cushioning for prolonged wear.
The vibrant red hue of these shoes adds a pop of color to any outfit, effortlessly complementing both casual and dressy attire. Pair them with cropped trousers and a blouse for a polished office look, or style them with a sundress for a weekend ensemble. Their timeless design makes them a versatile addition to your footwear collection.
Care -  gently wipe them clean with a soft cloth as needed. ",/images/Closed_Toe_Pumps_in_Red.jpg,49.9,/images/Closed_Toe_Pumps_in_Red.jpg
footwear,shoes,Soft Ballet Flats in Blush Pink Leather,"Soft Blush Pink Ballet Flats are crafted from soft Italian leather.
Designed for both comfort and style, these ballet flats feature a classic rounded toe and a low-profile sole height of 0.4 inches (1 cm). The leather creates a soft shoe that molds comfortably to your foot.
These flats effortlessly enhance any outfit with their understated yet luxurious appeal.
With a sole crafted from 100% polyurethane thermoplastic, offering lightweight cushioning and flexibility, ensuring all-day comfort. The polyurethane insole provides additional support and cushioning underfoot.
The versatile blush pink color of these ballet flats makes them a wardrobe staple that pairs effortlessly with a wide range of outfits, such as a dress for an evening event, or dress them down with jeans and a blouse for a chic and comfortable everyday look. 
The 100% Italian leather upper ensures a soft and flexible fit, while the polyurethane sole and insole offer stability and support. 
Gently wipe them clean with a soft cloth as needed. 
",/images/Soft_Ballet_Flats_in_Blush_Pink_Leather-small2.jpg,49.9,/images/Soft_Ballet_Flats_in_Blush_Pink_Leather-small2.jpg
accessories,sunglasses,Acetate OvalSunglasses in Red,"Introducing the Red Acetate Oval Sunglasses, a stylish accessory combining fashion-forward design with superior eye protection - perfect for making a bold statement while ensuring your eyes are safeguarded against the sun's harmful rays.
These sunglasses feature chic oval frames in a striking red hue. The acetate material gives the frames a glossy finish and durable structure, making them both fashionable and long-lasting. The unique oval shape adds a touch of retro glamour. Whether you're heading to the beach, a weekend brunch, or a summer festival, it's the perfect accessory to elevate your look.
Superior Protection with 100% UV protection, shielding your eyes from harmful UVA and UVB rays. With Category 2 lenses, they are ideal for everyday wear, offering moderate protection against sun glare and suitable for various light conditions. The lenses are made from 100% allyl diglycol carbonate, known for its high optical clarity and impact resistance, ensuring clear vision and durability.
Quality Materials - crafted from a blend of 80% cellulose diacetate and 20% copper, combining strength and flexibility, ensuring that the sunglasses maintain their shape while providing a comfortable fit. The allyl diglycol carbonate lenses are lightweight yet sturdy.
The vibrant red frames add a pop of color to any outfit, while the classic oval shape complements a wide range of face shapes. Whether paired with casual wear or a chic summer dress, these sunglasses are sure to enhance your style.",/images/Acetate_Oval_Sunglasses_in_Red-small.jpg,69.9,/images/Acetate_Oval_Sunglasses_in_Red-small.jpg
apparel,top blouse sweater,Classic Silk Camisole in Black,"Elevate your wardrobe with the elegant Camisole in Black. This sophisticated camisole top combines a classic silhouette with a beautiful tuck at the bodice. Pair with a blazer and trousers for a chic office look, or wear it with a skirt and heels for an effortlessly stylish evening outfit. 
This black V-neck camisole features adjustable tied spaghetti straps, allowing you to customize the fit for maximum comfort.  The camisole's sleek silhouette makes it an ideal choice for layering or wearing on its own.
Outer shell is 100% silk, the lining fabric, composed of 100% polyamide, contributes to the camisole's lightweight and breathable nature.
Available in black , this silk camisole offers versatility in styling. The black option exudes sophistication and can easily be paired with anything from denim to formal skirts. 
To maintain the beauty and integrity of your Camisole, hand wash at a maximum temperature of 30ºC/86ºF, and hang to dry. Iron at a low temperature of up to 110ºC/230ºF if needed, 
Keywords: blouse, top, tops, camisole, camisoles",/images/Classic_Silk_Camisole_in_Black.jpg,39.9,/images/Classic_Silk_Camisole_in_Black.jpg
apparel,top blouse sweater,Floral Camisole in White,"Enhance your wardrobe with the elegant Floral Camisole in White, a versatile piece that seamlessly blends classic charm with modern sophistication. This stunning camisole top is designed to elevate any outfit, making it a must-have addition to your collection. Pair with skirt and heels for an effortlessly stylish evening outfit. Adjustable straps and comfortable fit make it suitable for various body types.
The white V-neck camisole features adjustable tied spaghetti straps, allowing you to customize the fit for ultimate comfort. The tonal textured floral applique detail adds a touch of delicate elegance, enhancing the neckline and creating a romantic, feminine look. 
The outer shell and lining are made from 100% polyester, ensuring a smooth and durable finish. The secondary fabric, composed of 100% polyamide, adds a lightweight and breathable element, enhancing comfort.

Hand wash at a maximum temperature of 30ºC/86ºF. Iron at a low temperature of up to 110ºC/230ºF if needed, and avoid dry cleaning and tumble drying to extend the life of your garment.
Keywords: blouse, top, tops, camisole, camisoles",/images/Floral_Camisole_in_White.jpg,39.9,/images/Floral_Camisole_in_White.jpg
Tops,top blouse sweater,Navy Wool Blend Sweater,"The Navy Wool Blend Sweater is a timeless classic that combines warmth and sophistication. Crafted from a blend of wool and polyester, this sweater offers a luxurious texture and a rich, navy hue that complements a wide range of outfits. The semi-fitted design highlights your silhouette without feeling restrictive, making it versatile for both casual and formal occasions. The subtle ribbing at the cuffs and hem adds a touch of detail, while the V-neckline enhances the overall elegant look. This sweater is perfect for layering over dresses, skirts, or jeans, adding a touch of class to any ensemble. Pair it with a statement necklace and black boots for a polished look, or dress it down with a casual blouse and jeans for a more relaxed style.",/images/generic_product_image.jpg,149.99,/images/generic_product_image.jpg
Accessories,bag,Xanadu Crossbody Bag,"The Xanadu Crossbody Bag is a perfect blend of style and functionality, designed to keep your essentials within reach while adding a touch of sophistication to any outfit. This crossbody bag is crafted from premium leather, providing a luxurious feel and a timeless look that will never go out of style. The bag features a spacious interior with multiple pockets, including a zipped pocket for added security. The adjustable crossbody strap is made from the same high-quality leather, ensuring comfort and a secure fit. The main dimensions of the bag are 16 inches in height, 12 inches in width, and 3 inches in depth, offering ample space for your phone, wallet, keys, and other necessities. The versatile design makes it suitable for various occasions, from casual outings to more formal events. Pair it with jeans and a blazer for a professional look or with a dress and heels for a night out.",/images/generic_product_image.jpg,119.99,/images/generic_product_image.jpg
Dresses,dress,Zesty Floral Maxi Dress,"Introducing the Zesty Floral Maxi Dress, a vibrant and elegant addition to any wardrobe. This dress features a flowing maxi silhouette, making it perfect for both casual outings and special occasions. The floral print in bold, eye-catching colors adds a playful touch, while the A-line design ensures a flattering fit for all body types. The dress is crafted from 100% cotton, offering a soft and comfortable feel against the skin. The fabric's natural drape enhances the dress's flowy shape, making it a joy to wear. The dress features a V-neckline and spaghetti straps, adding a touch of sophistication and femininity. Pair it with sandals for a summer beach look or dress it up with heels for a more formal event. Its versatile design ensures it will be a staple in your wardrobe for years to come.",/images/generic_product_image.jpg,149.99,/images/generic_product_image.jpg
Accessories,bag,Gardenia Zippered Crossbody Bag,"The Gardenia Zippered Crossbody Bag is a stylish and functional accessory that combines elegance with practicality. Ideal for the modern woman on the go, this bag features a sleek design that can be worn casually or dressed up for special occasions. The exterior is crafted from a blend of soft leather and durable canvas, providing a stylish and robust look. The crossbody strap is adjustable, ensuring a comfortable fit for all body types, and features a gold-toned buckle for added detail.

Inside, the bag offers ample storage with a spacious main compartment and a separate zippered pocket, perfect for organizing your essentials. The main compartment measures 10 inches in height, 12 inches in length, and 3 inches in width, providing enough space for your phone, wallet, keys, and other small items. The zippered closure keeps your belongings secure and adds a touch of sophistication to the design.

Whether you're running errands, grabbing lunch, or heading to a meeting, the Gardenia Zippered Crossbody Bag is the perfect companion. Pair it with a casual outfit or dress it up with a skirt and blouse for a polished look.",/images/generic_product_image.jpg,149.99,/images/generic_product_image.jpg
Accessories,sunglasses,Urban Chic Sunglasses,"The Urban Chic Sunglasses are a perfect blend of style and functionality, designed to elevate any outfit. These sunglasses feature a sleek, rectangular frame made from lightweight and durable acetate, offering both comfort and a modern look. The dark, polarized lenses not only shield your eyes from harmful UV rays but also enhance contrast and depth perception, making them ideal for a variety of outdoor activities. The hypoallergenic nose pads ensure a secure fit, while the flexible temple arms allow for an adjustable and personalized experience. Whether you're navigating city streets or enjoying a day at the beach, these sunglasses are your go-to accessory for both style and protection.",/images/generic_product_image.jpg,59.99,/images/generic_product_image.jpg
Footwear,shoes,Elegante Velvet Espadrilles,"The Elegante Velvet Espadrilles are a perfect blend of comfort and sophistication, designed to elevate your casual and formal looks with a touch of vintage charm. Crafted from premium velvet, these espadrilles offer a soft, luxurious feel against the skin, making them ideal for both short walks and long days. The iconic jute sole adds a classic, earthy touch, while providing excellent arch support and cushioning for a comfortable wear. These versatile shoes come in a stylish black hue, making them a go-to choice for any occasion. The open-back design allows for easy slip-on and off, ensuring convenience and practicality. Pair them with jeans and a blazer for a chic office look, or dress them up with a flowy dress for a glamorous evening ensemble.",/images/generic_product_image.jpg,139.99,/images/generic_product_image.jpg
Footwear,shoes,Elegante Flora Espadrilles,"The Elegante Flora Espadrilles are a delightful blend of comfort and chic, perfect for adding a touch of elegance to your casual wardrobe. These espadrilles feature a closed toe design with a soft, breathable fabric upper, ensuring a comfortable fit all day long. The traditional espadrille sole provides a unique texture and a subtle flair of Spanish-inspired style. The adjustable straps at the vamp allow for a secure and personalized fit, making them ideal for everyday wear or a casual stroll. The heel height of 1 inch offers a slight lift without compromising comfort. Pair these espadrilles with shorts and a blouse for a casual look, or dress them up with a skirt and blazer for a more polished ensemble.",/images/generic_product_image.jpg,69.99,/images/generic_product_image.jpg
Accessories,bag,Elegant Embroidered Crossbody Bag,"The Elegant Embroidered Crossbody Bag is a perfect blend of sophistication and versatility, designed to elevate any outfit. Crafted with a focus on intricate detailing and high-quality materials, this crossbody bag features an elegant embroidered pattern that adds a touch of charm to your style. The bag is made from a combination of durable canvas and soft leather, ensuring both strength and a luxurious feel. The spacious interior measures 12 inches in height, 15 inches in length, and 4 inches in width, providing ample room for all your essentials. With multiple pockets, including a secure zippered pocket, you can keep your items organized and within reach. The crossbody strap is adjustable, allowing you to wear it comfortably over your shoulder or across your body. This versatile bag is perfect for both casual outings and formal events, making it a must-have addition to your accessory collection.",/images/generic_product_image.jpg,179.99,/images/generic_product_image.jpg
Accessories,sunglasses,Navy Aviator Sunglasses,"The Navy Aviator Sunglasses are a classic yet stylish accessory that adds a touch of timeless charm to any outfit. Inspired by the iconic aviator style, these sunglasses feature a sleek, full-rim design that frames your face perfectly. The navy blue frame is both eye-catching and versatile, pairing well with a wide range of clothing and accessories. The lenses are polarized, providing excellent UV protection and reducing glare, making them ideal for both sunny days and overcast conditions. The lightweight yet sturdy build ensures comfort throughout the day, whether you're at the office, running errands, or enjoying a day at the beach. These sunglasses are a must-have for anyone looking to elevate their casual or formal look with a touch of retro chic.",/images/generic_product_image.jpg,69.99,/images/generic_product_image.jpg
Accessories,sunglasses,Olive Grove Aviator Sunglasses,"The Olive Grove Aviator Sunglasses are a stylish and functional accessory that combines classic aviator design with a modern twist. Crafted from lightweight and durable acetate, these sunglasses offer a sleek, stylish look that complements a variety of outfits. The iconic aviator shape frames your face beautifully, while the olive green tinted lenses provide optimal UV protection and a touch of sophistication. Perfect for both casual and formal settings, these sunglasses are a must-have addition to any fashion-forward wardrobe. Pair them with a tailored blazer and dress pants for a polished business look, or with a floral dress and sandals for a more casual, chic ensemble.",/images/generic_product_image.jpg,39.99,/images/generic_product_image.jpg
Tops,top blouse sweater,Linen Lace Blouse Sweater,"Introducing the Linen Lace Blouse Sweater, a stylish and comfortable piece that combines the freshness of linen with the elegance of lace. This blouse sweater features a classic V-neck and short sleeves, making it perfect for a variety of occasions. The linen fabric offers a breathable, lightweight feel, ideal for warmer weather, while the delicate lace trim adds a touch of sophistication and charm. The relaxed fit ensures a comfortable wear, making it easy to pair with a wide range of bottoms, from jeans to skirts. Ideal for both casual outings and more formal events, this blouse sweater is a must-have for any woman's wardrobe.",/images/generic_product_image.jpg,99.99,/images/generic_product_image.jpg
Accessories,bag,Pretty Paisley Print Purse,"The Pretty Paisley Print Purse is a charming accessory that combines traditional elegance with modern style, making it a must-have for your everyday carry. This compact purse features a vibrant paisley pattern on a soft, durable fabric, adding a pop of color and texture to your outfit. The purse measures 8 inches in height, 9 inches in width, and 2 inches in depth, providing ample space for your essentials while maintaining a compact size. It includes three interior pockets and a zippered closure to keep your belongings secure. Whether you're running errands or attending a casual event, this purse is the perfect companion to enhance your look and functionality.",/images/generic_product_image.jpg,109.99,/images/generic_product_image.jpg
Footwear,shoes,Bold Bellissima Ballet Flats,"The Bold Bellissima Ballet Flats are a perfect blend of comfort and style, designed to elevate any outfit with their elegant simplicity. These ballet flats feature a sleek, closed-toe design that combines classic sophistication with a modern twist. The bold, vibrant color adds a touch of personality to your look, making them suitable for both casual and formal settings.

Crafted from high-quality materials, these flats offer a smooth and comfortable fit. The upper is made from a soft, breathable fabric that provides a luxurious feel, while the insole, made from 78% polyurethane and 22% polyester, ensures all-day comfort. The durable, flexible sole adds a touch of elegance and ensures a steady, supportive stride.

The Bold Bellissima Ballet Flats are a versatile addition to any wardrobe, perfect for pairing with a tailored skirt and blazer for a polished office look, or with jeans and a blouse for a casual yet stylish ensemble. Their timeless design and vibrant color make them a must-have in your footwear collection.",/images/generic_product_image.jpg,179.99,/images/generic_product_image.jpg
Dresses,dress,Woven Floral Maxi Dress,"The Woven Floral Maxi Dress is a timeless beauty that combines the elegance of a maxi silhouette with the vibrant charm of a floral print. This dress is perfect for adding a touch of whimsy and sophistication to your wardrobe, suitable for both casual outings and more formal events.

Crafted from a high-quality blend of 60% cotton and 40% polyester, the dress features a flattering empire waist that accentuates your natural waistline. The woven fabric offers a soft, breathable texture that feels comfortable all day long, making it ideal for warm weather or as a layering piece in cooler seasons.

The maxi length ensures a flowing, graceful look that complements any figure, while the subtle floral print adds a charming touch of nature to your outfit. The dress features a simple yet elegant V-neckline and spaghetti straps, designed to highlight your shoulders and collarbone.

The dress can be styled in various ways, whether you prefer a casual look with sandals and a sun hat or a more formal ensemble with heels and statement jewelry. Its versatile design ensures it will be a staple in your wardrobe for years to come.",/images/generic_product_image.jpg,99.99,/images/generic_product_image.jpg
Accessories,sunglasses,Glamourous Gingham Sunglasses,"The Glamourous Gingham Sunglasses are a chic and stylish addition to any accessory collection, blending classic patterns with modern sophistication. These sunglasses feature a trendy gingham pattern on the lenses, adding a unique touch of personality to your look. The frames are crafted from lightweight and durable acetate, ensuring both comfort and a fashionable appearance. The temples are designed with a subtle gingham texture, complementing the lenses perfectly. The adjustable nose pads and temples offer a customizable fit, making these sunglasses perfect for all-day wear. Whether you're strolling through the city or lounging by the beach, the Glamourous Gingham Sunglasses are the perfect choice to elevate your outfit.",/images/generic_product_image.jpg,79.99,/images/generic_product_image.jpg
Footwear,shoes,Gilded Glitter Sandals,"The Gilded Glitter Sandals are a glamorous addition to any summer wardrobe, combining elegance with a touch of sparkle. These chic sandals feature a sleek, open-toe design that showcases the glimmering gold glitter accents, making them perfect for both casual outings and special events. With a modest 1.5-inch heel, they offer a subtle lift while maintaining comfort. The durable sole ensures a stable and secure fit, perfect for walking all day long. The upper part of the sandal is crafted from high-quality synthetic leather, providing a luxurious feel and easy care. The Gilded Glitter Sandals are a must-have for anyone looking to add a glamorous touch to their summer look.",/images/generic_product_image.jpg,49.99,/images/generic_product_image.jpg
Bottoms,skirt,Ravishing Silk Skirt,"The Ravishing Silk Skirt is a luxurious piece that combines elegance and sophistication, perfect for any occasion. This flowing skirt features a classic A-line silhouette that flatters the figure, making it a versatile choice for both formal events and everyday wear. The skirt is crafted from high-quality silk, providing a smooth and lustrous texture that feels sumptuous against the skin. The subtle sheen of the silk adds a touch of glamour, while the breathable nature of the material ensures comfort throughout the day. The skirt is available in a timeless black color, making it a versatile addition to any wardrobe. Pair it with a simple blouse and heels for a chic and polished look, or layer it over a turtleneck for a more casual ensemble.",/images/generic_product_image.jpg,159.99,/images/generic_product_image.jpg
Footwear,shoes,Elegante Evening Heels in Navy,"The Elegante Evening Heels in Navy are a sophisticated blend of style and comfort, perfect for adding a touch of elegance to your evening wardrobe. These heeled shoes feature a sleek, closed-toe design with a pointed toe that exudes classic sophistication. The navy color offers a versatile look that pairs beautifully with both formal and semi-formal attire.

With a heel height of 3 inches, these shoes strike the perfect balance between comfort and chic, providing a stylish yet stable platform for your evening outings. The patent leather upper gives them a luxurious sheen and a smooth, comfortable feel. The lightweight, cushioned sole ensures all-day comfort, while the pointed toe adds a touch of modernity.

The Elegante Evening Heels in Navy are a versatile addition to any woman's shoe collection, suitable for a variety of occasions from cocktail parties to formal dinners. Pair them with a little black dress for a classic look, or style them with a skirt suit for a polished professional ensemble. Their timeless design ensures they will remain a staple in your wardrobe for years to come.",/images/generic_product_image.jpg,119.99,/images/generic_product_image.jpg
